video_id,comment_id,author,text,like_count,published_at,is_reply,total_reply_count,reply_to
EnVab0wAtyQ,UgzOHpthnokQtSipVql4AaABAg,@ajnajaramillo4474,gat deam,0,2025-01-07T02:45:34Z,False,0,
EnVab0wAtyQ,Ugy6nBRW84IO3SHge7R4AaABAg,@moonicak3,PASABA POR TODAS LAS FASES EXISTENTES🤣🤣🤣,0,2025-01-06T19:02:06Z,False,0,
EnVab0wAtyQ,UgwLK9tmHK51Zud5xcR4AaABAg,@Valeria-n2s7r,Ngl he was kinda cute,0,2025-01-05T22:08:54Z,False,0,
EnVab0wAtyQ,UgwuIsN00TAr3dTFwat4AaABAg,@ASMR_Ev_an,Your mom is really sweet ❤,1,2025-01-05T16:53:54Z,False,0,
EnVab0wAtyQ,UgyFJeRZ1N6j33Y9DDl4AaABAg,@sam1925,the first outfit was so billie joe armstrong 😂,0,2025-01-05T13:38:46Z,False,0,
EnVab0wAtyQ,UgzvBVEElzyEzF4Dr6t4AaABAg,@barbelmeier741,"Your mom's so sweet. I meen she try it, I wish my mom had!😱",0,2025-01-05T11:11:14Z,False,0,
EnVab0wAtyQ,UgzHErcumya1rxuRBuR4AaABAg,@EllieQuigley.,You have proof for everything!!,0,2025-01-05T09:44:37Z,False,0,
EnVab0wAtyQ,UgzjbLTY3I5kOC0H6c94AaABAg,@RoseBoobyer,😮 soo giveing,0,2025-01-04T23:00:43Z,False,0,
EnVab0wAtyQ,UgwzBwBQeSjR_p-GdyJ4AaABAg,@Vee-t2h,Revenge gerard way (yes im emo),0,2025-01-03T18:42:16Z,False,0,
EnVab0wAtyQ,Ugzk1950ydo0W707DWl4AaABAg,@ArtBorger,the mom is so sweet ❤,0,2025-01-03T17:31:11Z,False,0,
EnVab0wAtyQ,UgySc34B96ZM6nLdQ-94AaABAg,@mitzukocastrosashida2052,teen you wouldve made such a great skins character,0,2025-01-02T17:17:05Z,False,0,
EnVab0wAtyQ,Ugx_gcvl3ZaR_pAJJP54AaABAg,@Midnight_in_stars,No one noticing how the mom only got him one shoe and the sticker on the hat was her in lewis' drawing style,0,2025-01-01T19:21:34Z,False,0,
EnVab0wAtyQ,UgxRmLxgv-sQPBazNgl4AaABAg,@Brodingles,"Unever qent through any of these phases and I still feel called out for aome reason 😭

Love this, thank you for including the old pics!",0,2024-12-31T08:59:01Z,False,0,
EnVab0wAtyQ,UgxoaPEs-ykFYClOjGB4AaABAg,@NickMihele,Was your name gerard way perchance?,0,2024-12-29T18:32:45Z,False,0,
EnVab0wAtyQ,Ugz7X8xUIYRFiYkkY494AaABAg,@I1Yearoldartist,Why do you kinda look like that one guy from MSI,0,2024-12-28T10:22:45Z,False,0,
EnVab0wAtyQ,Ugw-0c_xEfyIBVrg9cV4AaABAg,@zoelak1285,Reminds me of all the gay merch my parents get me since I came out of the closet they really do try and you bet your ass I’m gonna wear everything they get me,0,2024-12-28T00:45:11Z,False,0,
EnVab0wAtyQ,UgyUCyzBqhO62Cln_GZ4AaABAg,@jodemon1wg,durrr... omg felt that,0,2024-12-27T22:24:58Z,False,0,
EnVab0wAtyQ,UgxR1PRW7TDhPJRQL_p4AaABAg,@linkinjayce,the way these are all me lol,0,2024-12-27T22:00:23Z,False,0,
EnVab0wAtyQ,Ugz8y4tncCjoclB8Y-J4AaABAg,@marialowe9251,the first otfit reminds me of gerard way,0,2024-12-27T14:56:53Z,False,0,
EnVab0wAtyQ,Ugxbsg1XREhhi8tFoYh4AaABAg,@Eman23244sssss,And it means fuck,0,2024-12-26T18:23:58Z,False,0,
